"user_id","features","cleaning_efficiency","consumables","comparison","time"
"1001","65㎡ apartment | single | hardwood floor","Coverage:85%\nDaily avg cleaning:45㎡\nMissed areas:under sofa (insufficient height)","Main brush lifespan:60 days remaining\nHEPA filter:40% remaining","Outperforms 65% same-area users (higher cleaning frequency)","2025-01"
"1002","70㎡ apartment | couple | ceramic tile","Coverage:88%\nObstacle avoidance failures:2 times/week (cable tangling)","Side brush wear:moderate\nDustbin cleaning:every 3 days","Mopping function usage rate 30% below peers","2025-01"
"1003","90㎡ | 1 dog | short-pile carpet","Hair cleaning:92%\nCarpet boost usage:15 times/month","Rubber brush replacement:25 days remaining\nDustbin capacity:cleaned daily","Hair processing efficiency top 15%","2025-01"
"1004","85㎡ | 2 cats | mixed flooring","Cat litter spill handling:8 times/month\nAuto return-to-charge success rate:89%","Main brush tangling:severe\nFilter replacement:urgently needed","Recommend upgrading suction to 2500Pa","2025-01"
"1005","120㎡ | elderly | anti-slip tile","Manual operation ratio:95%\nScheduled cleaning not used","Battery degradation:25%\nWater tank not activated","Voice control function urgently needed","2025-01"
"1006","150㎡ villa | children | multi-floor","Cross-floor failures:3 times/week\nToy obstacle avoidance rate:76%","Side brush replacement:2 times/quarter\nDust bag consumption:1 per month","Recommend adding mechanical arm accessory","2025-01"
"1007","55㎡ 1-bedroom | living alone | laminate floor","Coverage:90%\nDaily avg cleaning:35㎡\nEdge cleaning with no blind spots","Filter lifespan:80 days remaining\nDustbin cleaning:every 5 days","Cleaning efficiency outperforms 70% small apartment users","2025-01"
"1008","100㎡ 3-bedroom | family of three | marble","Coverage:86%\nDining table area missed:1 time/day\nObstacle avoidance success rate:90%","Main brush wear:mild\nWater tank refill:2 times daily","Marble floor cleaning performance 15% below peers","2025-01"
"1009","80㎡ 2-bedroom | pet owner | faux hardwood","Pet hair cleaning:85%\nAuto return-to-charge success rate:92%","Rubber brush tangling:moderate\nFilter replacement:30 days remaining","Pet household cleaning efficiency at average level","2025-01"
"1010","130㎡ 4-bedroom | three-generation household | full-body tile","Coverage:82%\nManual assisted cleaning:3 times/day\nScheduled cleaning usage rate:60%","Battery degradation:15%\nSide brush lifespan:45 days remaining","Large apartment operation convenience 20% below peers","2025-01"
"1001","65㎡ apartment | single | hardwood floor","Coverage:86%\nDaily avg cleaning:46㎡\nMissed areas:under sofa (insufficient height)","Main brush lifespan:55 days remaining\nHEPA filter:35% remaining","Outperforms 68% same-area users (higher cleaning frequency)","2025-02"
"1002","70㎡ apartment | couple | ceramic tile","Coverage:87%\nObstacle avoidance failures:3 times/week (cable tangling)","Side brush wear:moderate+\nDustbin cleaning:every 2 days","Mopping function usage rate 32% below peers","2025-02"
"1003","90㎡ | 1 dog | short-pile carpet","Hair cleaning:91%\nCarpet boost usage:14 times/month","Rubber brush replacement:20 days remaining\nDustbin capacity:cleaned daily","Hair processing efficiency top 18%","2025-02"
"1004","85㎡ | 2 cats | mixed flooring","Cat litter spill handling:9 times/month\nAuto return-to-charge success rate:87%","Main brush tangling:severe+\nFilter replacement:urgent","Recommend upgrading suction to 2500Pa+regularly clean main brush","2025-02"
"1005","120㎡ | elderly | anti-slip tile","Manual operation ratio:94%\nScheduled cleaning trial usage:1 time/week","Battery degradation:26%\nWater tank not activated","Voice control function urgently needed+simplified operation interface","2025-02"
"1006","150㎡ villa | children | multi-floor","Cross-floor failures:4 times/week\nToy obstacle avoidance rate:74%","Side brush replacement:needs replacement\nDust bag consumption:1.2 per month","Recommend adding mechanical arm accessory+improve cross-floor navigation","2025-02"
"1007","55㎡ 1-bedroom | living alone | laminate floor","Coverage:91%\nDaily avg cleaning:36㎡\nEdge cleaning with no blind spots","Filter lifespan:75 days remaining\nDustbin cleaning:every 4 days","Cleaning efficiency outperforms 72% small apartment users","2025-02"
"1008","100㎡ 3-bedroom | family of three | marble","Coverage:87%\nDining table area missed:1 time/day\nObstacle avoidance success rate:91%","Main brush wear:mild+\nWater tank refill:2 times daily","Marble floor cleaning performance 13% below peers","2025-02"
"1009","80㎡ 2-bedroom | pet owner | faux hardwood","Pet hair cleaning:86%\nAuto return-to-charge success rate:93%","Rubber brush tangling:moderate\nFilter replacement:25 days remaining","Pet household cleaning efficiency at upper-average level","2025-02"
"1010","130㎡ 4-bedroom | three-generation household | full-body tile","Coverage:83%\nManual assisted cleaning:2 times/day\nScheduled cleaning usage rate:65%","Battery degradation:16%\nSide brush lifespan:40 days remaining","Large apartment operation convenience 18% below peers","2025-02"
"1001","65㎡ apartment | single | hardwood floor","Coverage:87%\nDaily avg cleaning:47㎡\nMissed areas:under sofa (insufficient height)","Main brush lifespan:50 days remaining\nHEPA filter:30% remaining","Outperforms 70% same-area users (higher cleaning frequency)","2025-03"
"1002","70㎡ apartment | couple | ceramic tile","Coverage:88%\nObstacle avoidance failures:2 times/week (cables+data cables)","Side brush wear:heavy-\nDustbin cleaning:every 2 days","Mopping function usage rate 30% below peers+recommend tidying cables","2025-03"
"1003","90㎡ | 1 dog | short-pile carpet","Hair cleaning:92%\nCarpet boost usage:16 times/month","Rubber brush replacement:replaced\nDustbin capacity:cleaned daily","Hair processing efficiency top 15%","2025-03"
"1004","85㎡ | 2 cats | mixed flooring","Cat litter spill handling:7 times/month\nAuto return-to-charge success rate:88%","Main brush tangling:severe\nFilter replacement:replaced","Cleaning efficiency improved 5% after suction upgrade","2025-03"
"1005","120㎡ | elderly | anti-slip tile","Manual operation ratio:93%\nScheduled cleaning usage rate:2 times/week","Battery degradation:27%\nWater tank first activated:used 1 time","Voice control function installation scheduled","2025-03"
"1006","150㎡ villa | children | multi-floor","Cross-floor failures:2 times/week\nToy obstacle avoidance rate:78%","Side brush replacement:1 time/quarter\nDust bag consumption:1 per month","Mechanical arm accessory installed+cross-floor navigation optimized","2025-03"
